state,parlimen,area_name,ballot_order,name,candidate_uid,party,votes
Perlis,P.001 Padang Besar,Padang Besar,1,Izizam Bin Ibrahim,3984,PKR,13594
Perlis,P.001 Padang Besar,Padang Besar,2,Zahidi Bin Zainul Abidin,3630,BN,15032
Perlis,P.001 Padang Besar,Padang Besar,3,Mokhtar Senik,3985,PAS,7874
Perlis,P.002 Kangar,Kangar,1,Amin Ahmad,3986,PKR,20909
Perlis,P.002 Kangar,Kangar,2,Ramli Shariff,3987,BN,15306
Perlis,P.002 Kangar,Kangar,3,Zahid Ibrahim,3988,PAS,8465
Perlis,P.003 Arau,Arau,1,Hashim Jasin,3989,PAS,11362
Perlis,P.003 Arau,Arau,2,Abdul Rahman Bin Daud,1394,PKR,11691
Perlis,P.003 Arau,Arau,3,Shahidan Bin Kassim,1665,BN,16547
Kedah,P.004 Langkawi,Langkawi,1,Zubir Bin Ahmad,3990,PAS,5512
Kedah,P.004 Langkawi,Langkawi,2,Mahathir Bin Mohamad,375,PKR,18954
Kedah,P.004 Langkawi,Langkawi,3,Nawawi Bin Ahmad,3635,BN,10061
Kedah,P.005 Jerlun,Jerlun,1,Abdul Ghani Bin Ahmad,3991,PAS,12829
Kedah,P.005 Jerlun,Jerlun,2,Othman Bin Aziz,3638,BN,12413
Kedah,P.005 Jerlun,Jerlun,3,Mukhriz Mahathir,3288,PKR,18695
Kedah,P.006 Kubang Pasu,Kubang Pasu,1,Mohd Johari Bin Baharum,3290,BN,16975
Kedah,P.006 Kubang Pasu,Kubang Pasu,2,Amiruddin Hamzah,3992,PKR,29984
Kedah,P.006 Kubang Pasu,Kubang Pasu,3,Norhafiza Binti Fadzil,3993,PAS,13375
Kedah,P.007 Padang Terap,Padang Terap,1,Azam Bin Aziz,3994,PAS,15285
Kedah,P.007 Padang Terap,Padang Terap,2,Khairizal Khazali,3995,PKR,7254
Kedah,P.007 Padang Terap,Padang Terap,3,Mahdzir Khalid,3641,BN,16384
Kedah,P.008 Pokok Sena,Pokok Sena,1,Mahfuz Omar,2928,PKR,28959
Kedah,P.008 Pokok Sena,Pokok Sena,2,Said Ali Bin Syed Rastan,3996,BN,18390
Kedah,P.008 Pokok Sena,Pokok Sena,3,Radhi Mat Din,3997,PAS,23401
Kedah,P.009 Alor Setar,Alor Setar,1,Aminur Shafiq,3998,PAS,17275
Kedah,P.009 Alor Setar,Alor Setar,2,Yoo Wei How,3999,BN,14181
Kedah,P.009 Alor Setar,Alor Setar,3,Chan Ming Kai,4000,PKR,32475
Kedah,P.010 Kuala Kedah,Kuala Kedah,1,Muhamad Riduan Bin Othman,4001,PAS,23143
Kedah,P.010 Kuala Kedah,Kuala Kedah,2,Abdullah Hasnan Bin Kamaruddin,4002,BN,19400
Kedah,P.010 Kuala Kedah,Kuala Kedah,3,Azman Ismail,3409,PKR,36624
Kedah,P.011 Pendang,Pendang,1,Othman Bin Abdul,1676,BN,20728
Kedah,P.011 Pendang,Pendang,2,Awang Solahudin,4003,PAS,26536
Kedah,P.011 Pendang,Pendang,3,Wan Saiful Wan Jan,4004,PKR,14901
Kedah,P.011 Pendang,Pendang,4,Penghulu Malik,4005,BEBAS,81
Kedah,P.012 Jerai,Jerai,1,Sabri Bin Azit,4006,PAS,22312
Kedah,P.012 Jerai,Jerai,2,Jamil Khir Bin Baharom,3646,BN,21773
Kedah,P.012 Jerai,Jerai,3,Akhramsyah Bin Sanusi Junid,4007,PKR,21651
Kedah,P.013 Sik,Sik,1,Tarmizi Sulaiman,4008,PAS,20088
Kedah,P.013 Sik,Sik,2,Mansor Bin Abdul Rahman,3647,BN,14870
Kedah,P.013 Sik,Sik,3,Azli Che Uda,4009,PKR,6970
Kedah,P.014 Merbok,Merbok,1,Nurin Aina,3649,PKR,30902
Kedah,P.014 Merbok,Merbok,2,Ahmad Fauzi,4010,PAS,19618
Kedah,P.014 Merbok,Merbok,3,Tajul Urus Mat Zain,3301,BN,20830
Kedah,P.015 Sungai Petani,Sungai Petani,1,Johari Abdul,3304,PKR,45532
Kedah,P.015 Sungai Petani,Sungai Petani,2,Sharir Long,4011,PAS,22760
Kedah,P.015 Sungai Petani,Sungai Petani,3,Shahanim Binti Mohamad Yusoff,4012,BN,23963
Kedah,P.015 Sungai Petani,Sungai Petani,4,P. Sritharan,4013,PRM,279
Kedah,P.016 Baling,Baling,1,Hassan Bin Saad,4014,PAS,37483
Kedah,P.016 Baling,Baling,2,Mohd Taufik Bin Hj Yaacob,4015,PKR,14472
Kedah,P.016 Baling,Baling,3,Azeez Rahim,3305,BN,38557
Kedah,P.017 Padang Serai,Padang Serai,1,Karupaiya Mutusami,4016,PKR,31724
Kedah,P.017 Padang Serai,Padang Serai,2,Muhamad Sobri Bin Osman,4017,PAS,22911
Kedah,P.017 Padang Serai,Padang Serai,3,Leong Yong Kong,4018,BN,15449
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,1,Abdul Aziz Sheikh Fadzir,3310,BN,18299
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,2,Saifuddin Nasution Ismail,2615,PKR,23159
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,3,Hassan Razak,4019,PAS,12885
Kelantan,P.019 Tumpat,Tumpat,1,Wan Johani Bin Wan Hussin,4020,BN,29541
Kelantan,P.019 Tumpat,Tumpat,2,Nordin Bin Salleh,4021,PKR,10003
Kelantan,P.019 Tumpat,Tumpat,3,Che Lah Mat Nawi,4022,PAS,47041
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,1,Marzuk Shaary,3667,PAS,32592
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,2,Zaluzi Bin Sulaiman,4023,BN,19360
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,3,Mohamad Bin Ibrahim,113,PKR,7435
Kelantan,P.021 Kota Bharu,Kota Bharu,1,Husam Musa,3826,PKR,22422
Kelantan,P.021 Kota Bharu,Kota Bharu,2,Fikhran Hamshi,4024,BN,16256
Kelantan,P.021 Kota Bharu,Kota Bharu,3,Takiyuddin,3661,PAS,28291
Kelantan,P.022 Pasir Mas,Pasir Mas,1,Che Ujang,4025,PKR,5093
Kelantan,P.022 Pasir Mas,Pasir Mas,2,Nor Azmawi @ Bawi,4026,BN,15005
Kelantan,P.022 Pasir Mas,Pasir Mas,3,Fadhli Shaari,4027,PAS,28080
Kelantan,P.022 Pasir Mas,Pasir Mas,4,Ibrahim Bin Ali,1692,BEBAS,5373
Kelantan,P.023 Rantau Panjang,Rantau Panjang,1,Kak Lah,3318,PAS,24581
Kelantan,P.023 Rantau Panjang,Rantau Panjang,2,Abdullah Bin Mat Yasim,2321,BN,18431
Kelantan,P.023 Rantau Panjang,Rantau Panjang,3,Wan Shah Jihan Bin Wan Din,4028,PKR,5361
Kelantan,P.024 Kubang Kerian,Kubang Kerian,1,Abdul Halim Bin Yusof,4029,PKR,11557
Kelantan,P.024 Kubang Kerian,Kubang Kerian,2,Muhammad Abdul Ghani,4030,BN,16251
Kelantan,P.024 Kubang Kerian,Kubang Kerian,3,Ibrahim,4031,PAS,35620
Kelantan,P.025 Bachok,Bachok,1,Mohd Zulkifli Bin Haji Zakaria,4032,PKR,4880
Kelantan,P.025 Bachok,Bachok,2,Nik Abduh,3663,PAS,36188
Kelantan,P.025 Bachok,Bachok,3,Awang,3323,BN,32896
Kelantan,P.026 Ketereh,Ketereh,1,Wan Ismail Bin Wan Jusoh,4033,PAS,20841
Kelantan,P.026 Ketereh,Ketereh,2,Radzi Jidin,4034,PKR,6799
Kelantan,P.026 Ketereh,Ketereh,3,Annuar Musa,3324,BN,25467
Kelantan,P.027 Tanah Merah,Tanah Merah,1,Ikmal Hisham Bin Abdul Aziz,3670,BN,28152
Kelantan,P.027 Tanah Merah,Tanah Merah,2,Johari Mat,4035,PAS,25223
Kelantan,P.027 Tanah Merah,Tanah Merah,3,Mohamad Fauzi Bin Zakaria,4036,PKR,4747
Kelantan,P.028 Pasir Puteh,Pasir Puteh,1,Asyraf Wajdi Dusuki,3312,BN,30947
Kelantan,P.028 Pasir Puteh,Pasir Puteh,2,Nik Zawawi,4037,PAS,32307
Kelantan,P.028 Pasir Puteh,Pasir Puteh,3,Kamarudin (Abe Din),4038,PKR,4896
Kelantan,P.029 Machang,Machang,1,Zulkifli Mamat,4039,PAS,23252
Kelantan,P.029 Machang,Machang,2,Sazmi,3331,PKR,5695
Kelantan,P.029 Machang,Machang,3,Jazlan,3673,BN,26076
Kelantan,P.030 Jeli,Jeli,1,Mustapa Bin Mohamed,2333,BN,21665
Kelantan,P.030 Jeli,Jeli,2,Azran Bin Deraman,4040,PKR,2078
Kelantan,P.030 Jeli,Jeli,3,Mohamad Bin Hamid,4041,PAS,15018
Kelantan,P.031 Kuala Krai,Kuala Krai,1,Ramzi Bin Ab Rahman,4042,BN,20911
Kelantan,P.031 Kuala Krai,Kuala Krai,2,Latiff,4043,PAS,28903
Kelantan,P.031 Kuala Krai,Kuala Krai,3,Mohd Yazid Bin Abdullah,4044,PKR,5173
Kelantan,P.032 Gua Musang,Gua Musang,1,Abdullah Bin Hussein,4045,PAS,15513
Kelantan,P.032 Gua Musang,Gua Musang,2,Abe Nor,4046,PKR,4997
Kelantan,P.032 Gua Musang,Gua Musang,3,Tengku Razaleigh Hamzah,872,BN,19426
Terengganu,P.033 Besut,Besut,1,Wan Nazari,4047,PKR,6864
Terengganu,P.033 Besut,Besut,2,Idris Jusoh,3676,BN,34335
Terengganu,P.033 Besut,Besut,3,Riduan Mohamad Nor,3677,PAS,29736
Terengganu,P.034 Setiu,Setiu,1,Mohd Jidin Bin Shafee,3338,BN,32218
Terengganu,P.034 Setiu,Setiu,2,Zukirnain Abdul Kadir,4048,PAS,35020
Terengganu,P.034 Setiu,Setiu,3,Mohd Faudzi Bin Musa,4049,PKR,4740
Terengganu,P.035 Kuala Nerus,Kuala Nerus,1,Abdullah Bin Mohamed,4050,PKR,4604
Terengganu,P.035 Kuala Nerus,Kuala Nerus,2,Khairuddin Takiri,3680,PAS,37974
Terengganu,P.035 Kuala Nerus,Kuala Nerus,3,Tengku Asmadi,4051,BN,29527
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,1,Amzad Hashim,4052,PAS,42988
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,2,Raja Bahrin,3682,PKR,15380
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,3,Wan Nawawi Bin Wan Ismail,4053,BN,28215
Terengganu,P.037 Marang,Marang,1,Zarawi Bin Sulong,4054,PKR,5138
Terengganu,P.037 Marang,Marang,2,Mohamad Nor Bin Endot,4055,BN,31795
Terengganu,P.037 Marang,Marang,3,Abdul Hadi Bin Awang,1712,PAS,53749
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,1,Razali Idris,4056,PKR,3364
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,2,Rosol Bin Wahid,4057,BN,30925
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,3,Muhyidin Abdul Rashid,2983,PAS,28057
Terengganu,P.039 Dungun,Dungun,1,Din Bin Adam,4058,BN,27731
Terengganu,P.039 Dungun,Dungun,2,Wan Hassan Mohd Ramli,3686,PAS,40850
Terengganu,P.039 Dungun,Dungun,3,Abdul Rahman Yusof,2987,PKR,6833
Terengganu,P.040 Kemaman,Kemaman,1,Alias Abdul Hamid,4059,PAS,39878
Terengganu,P.040 Kemaman,Kemaman,2,Mohd Huzaifah Md. Suhaimi,4060,PKR,12911
Terengganu,P.040 Kemaman,Kemaman,3,Ahmad Shabery Cheek,2986,BN,37715
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,1,Reezal Merican B Naina Merican,3689,BN,22459
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,2,Zaidi Bin Zakaria,4061,PKR,17723
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,3,Siti Mastura Muhammad,4062,PAS,12120
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,1,Shabudin Yahaya,3692,BN,18547
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,2,Marzuki Bin Yahya,4063,PKR,18466
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,3,Rizal Hafiz Bin Ruslan,4064,PAS,14891
Pulau Pinang,P.043 Bagan,Bagan,1,Huan Cheng Guan @ Huan,3702,PCM,502
Pulau Pinang,P.043 Bagan,Bagan,2,Lim Guan Eng,1839,PKR,51653
Pulau Pinang,P.043 Bagan,Bagan,3,Koay Xing Boon,4065,MU,181
Pulau Pinang,P.043 Bagan,Bagan,4,Lee Beng Seng,4066,BN,7751
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,1,Nurul Izzah Anwar,3464,PKR,35534
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,2,Afnan Hamimi B. Taib Azamudden,3690,PAS,14428
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,3,Mohd Zaidi Mohd Said,4067,BN,19866
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,1,Gui Guat Lye,3698,BN,10907
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,2,Sim Chee Keong,3699,PKR,63784
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,1,Ooi Khar Giap,4068,PFP,256
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,2,Jayanthi Devi Balaguru,3814,BN,9130
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,3,Jay Kumar,4069,PAS,2636
Pulau Pinang,P.046 Batu Kawan,Batu Kawan,4,Kasthuriraani Patto,3701,PKR,42683
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,1,Mansor Othman,3705,PKR,35395
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,2,Shaik Hussein Bin Mydin,4070,BN,19578
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,3,Tan Tee Beng,3355,BEBAS,331
Pulau Pinang,P.047 Nibong Tebal,Nibong Tebal,4,Mohd Helmi Bin Harun,4071,PAS,6875
Pulau Pinang,P.048 Bukit Bendera,Bukit Bendera,1,Wong Hon Wai,4072,PKR,50049
Pulau Pinang,P.048 Bukit Bendera,Bukit Bendera,2,Tan Gin Theam,4073,MU,339
Pulau Pinang,P.048 Bukit Bendera,Bukit Bendera,3,Andy Yong Kim Seng,4074,BN,9318
Pulau Pinang,P.049 Tanjong,Tanjong,1,Ng Siew Lai,4075,BN,5064
Pulau Pinang,P.049 Tanjong,Tanjong,2,Chow Kon Yeow,2665,PKR,34663
Pulau Pinang,P.050 Jelutong,Jelutong,1,Baljit Singh,4076,BN,12529
Pulau Pinang,P.050 Jelutong,Jelutong,2,Sanisvara Netrayer A/L Rajaji,4077,PKR,50700
Pulau Pinang,P.050 Jelutong,Jelutong,3,Tan Sim Bee,4078,MU,437
Pulau Pinang,P.051 Bukit Gelugor,Bukit Gelugor,1,Low Joo Hiap,4079,BN,9671
Pulau Pinang,P.051 Bukit Gelugor,Bukit Gelugor,2,Ramkarpal Singh A/L Karpal Singh,4080,PKR,65622
Pulau Pinang,P.051 Bukit Gelugor,Bukit Gelugor,3,Lai Xue Ching,4081,MU,412
Pulau Pinang,P.052 Bayan Baru,Bayan Baru,1,David Yim Boon Leong,4082,MU,733
Pulau Pinang,P.052 Bayan Baru,Bayan Baru,2,Sim Tze Tzin,3712,PKR,51555
