state,parlimen,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,P.001 Padang Besar,Padang Besar,32478,25347,653,441
Perlis,P.002 Kangar,Kangar,37224,29564,73,482
Perlis,P.003 Arau,Arau,36031,29473,51,414
Kedah,P.004 Langkawi,Langkawi,23081,18566,64,351
Kedah,P.005 Jerlun,Jerlun,44000,34436,13,595
Kedah,P.006 Kubang Pasu,Kubang Pasu,45925,36106,769,677
Kedah,P.007 Padang Terap,Padang Terap,28977,24157,294,480
Kedah,P.008 Pokok Sena,Pokok Sena,68125,52779,777,707
Kedah,P.009 Alor Setar,Alor Setar,63678,43538,891,1542
Kedah,P.010 Kuala Kedah,Kuala Kedah,61114,46781,27,649
Kedah,P.011 Pendang,Pendang,53388,43292,647,758
Kedah,P.012 Yan,Yan,42279,32428,15,513
Kedah,P.013 Sik,Sik,33070,27223,14,452
Kedah,P.014 Merbok,Merbok,63665,46599,52,1353
Kedah,P.015 Sungai Petani,Sungai Petani,72453,55457,2689,1151
Kedah,P.016 Baling,Baling,53886,42534,328,664
Kedah,P.017 Padang Serai,Padang Serai,64294,46778,11,1349
Kedah,P.018 Kulim-Bandar Baharu,Kulim-Bandar Baharu,47093,34781,422,898
Kelantan,P.019 Tumpat,Tumpat,48419,36657,27,636
Kelantan,P.020 Pengkalan Chepa,Pengkalan Chepa,42809,32749,678,486
Kelantan,P.021 Kota Bharu,Kota Bharu,63010,44762,118,995
Kelantan,P.022 Pasir Mas,Pasir Mas,51158,39949,41,549
Kelantan,P.023 Rantau Panjang,Rantau Panjang,44190,31424,13,554
Kelantan,P.024 Kubang Kerian,Kubang Kerian,45897,35246,52,517
Kelantan,P.025 Bachok,Bachok,51363,40610,231,922
Kelantan,P.026 Peringat,Peringat,45310,36271,1108,726
Kelantan,P.027 Tanah Merah,Tanah Merah,42824,33279,41,778
Kelantan,P.028 Pasir Puteh,Pasir Puteh,56773,43485,55,821
Kelantan,P.029 Machang,Machang,43200,33587,33,453
Kelantan,P.030 Jeli,Jeli,38023,31152,270,529
Kelantan,P.031 Kuala Krai,Kuala Krai,38887,30152,22,528
Kelantan,P.032 Gua Musang,Gua Musang,29890,23176,0,451
Terengganu,P.033 Besut,Besut,44522,36140,0,690
Terengganu,P.034 Setiu,Setiu,41898,34672,34,704
Terengganu,P.035 Kuala Nerus,Kuala Nerus,44555,37289,464,687
Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,64435,49301,359,230
Terengganu,P.037 Marang,Marang,58559,48611,105,840
Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,39190,32274,50,755
Terengganu,P.039 Dungun,Dungun,45296,36875,0,497
Terengganu,P.040 Kemaman,Kemaman,50616,40878,81,902
Pulau Pinang,P.041 Kepala Batas,Kepala Batas,36215,29477,64,618
Pulau Pinang,P.042 Tasek Gelugor,Tasek Gelugor,38697,30968,745,587
Pulau Pinang,P.043 Bagan,Bagan,72108,53882,42,1084
Pulau Pinang,P.044 Permatang Pauh,Permatang Pauh,49666,39210,0,647
Pulau Pinang,P.045 Bukit Mertajam,Bukit Mertajam,66607,51967,49,1107
Pulau Pinang,P.046 Nibong Tebal,Nibong Tebal,53267,41815,35,1230
Pulau Pinang,P.047 Bukit Bendera,Bukit Bendera,69610,49887,380,1051
Pulau Pinang,P.048 Tanjong,Tanjong,61260,43403,13,993
Pulau Pinang,P.049 Jelutong,Jelutong,59372,43239,20,1012
Pulau Pinang,P.050 Bayan Baru,Bayan Baru,84695,63388,201,1144
Pulau Pinang,P.051 Balik Pulau,Balik Pulau,62075,47701,419,914
Perak,P.052 Gerik,Gerik,38637,26167,1245,503
Perak,P.053 Larut,Larut,35535,25500,7,834
Perak,P.054 Parit Buntar,Parit Buntar,42372,30474,76,630
Perak,P.055 Bagan Serai,Bagan Serai,44887,29507,80,835
Perak,P.056 Bukit Gantang,Bukit Gantang,56370,38173,68,838
Perak,P.057 Taiping,Taiping,73637,50809,3492,1587
Perak,P.058 Chenderoh,Chenderoh,36121,23397,52,587
Perak,P.059 Sungai Siput,Sungai Siput,48985,31165,70,829
Perak,P.060 Tambun,Tambun,63368,44832,1755,971
Perak,P.061 Ipoh Timor,Ipoh Timor,77884,50422,768,808
Perak,P.062 Ipoh Barat,Ipoh Barat,71355,48696,833,1016
Perak,P.063 Batu Gajah,Batu Gajah,59029,38774,0,925
Perak,P.064 Kuala Kangsar,Kuala Kangsar,33831,21886,78,434
Perak,P.065 Beruas,Beruas,44197,28297,1,782
Perak,P.066 Parit,Parit,35472,23144,0,431
Perak,P.067 Gopeng,Gopeng,55542,38419,669,819
Perak,P.068 Kampar,Kampar,64721,39704,23,1084
Perak,P.069 Tapah,Tapah,40164,26220,1101,868
Perak,P.070 Pasir Salak,Pasir Salak,43228,29649,100,1010
Perak,P.071 Lumut,Lumut,70659,50265,8176,1372
Perak,P.072 Bagan Datok,Bagan Datok,36790,22164,27,878
Perak,P.073 Telok Intan,Telok Intan,56601,35500,47,1084
Perak,P.074 Tanjong Malim,Tanjong Malim,54685,34549,163,1308
Pahang,P.075 Lipis,Lipis,42585,28532,196,860
Pahang,P.076 Raub,Raub,52389,36606,278,1278
Pahang,P.077 Jurantut,Jurantut,42618,32176,104,687
Pahang,P.078 Kuantan,Kuantan,70438,52290,1638,1037
Pahang,P.079 Paya Besar,Paya Besar,53281,42221,2733,1553
Pahang,P.080 Pekan,Pekan,35832,26797,111,631
