date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes
1955-07-25,GE-00,Pulau Pinang,P.001 Wellesley North,1,Hashim Awang,3,PERIKATAN,2,0
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,1,Tay Hooi Soo,1,PERIKATAN,2,15697
1955-07-25,GE-00,Pulau Pinang,P.002 Wellesley South,2,Haji Zabidi Bin Haji Ali,2,PAS,3,3523
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,1,Chee Swee Ee,4,PERIKATAN,2,7253
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,2,Ooi Thiam Siew,5,BEBAS,1,2650
1955-07-25,GE-00,Pulau Pinang,P.003 George Town,3,Cheah Phee Aik,6,BEBAS,1,429
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,1,Zainul Abidin Bin Sultan Mydin,7,PERIKATAN,2,14865
1955-07-25,GE-00,Pulau Pinang,P.004 Penang Island,2,Md. Isa Bin Sulaiman,8,BEBAS,1,2925
1955-07-25,GE-00,Melaka,P.005 Malacca Central,1,Tan Siew Sin,9,PERIKATAN,2,17104
1955-07-25,GE-00,Melaka,P.005 Malacca Central,2,Abdul Karim Bin Bakar,10,BEBAS,1,3194
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,1,Abdul Ghafar Bin Baba,11,PERIKATAN,2,26790
1955-07-25,GE-00,Melaka,P.006 Malacca Luar,2,Jaafar Bin Mohd. Tan,12,BEBAS,1,2821
1955-07-25,GE-00,Perak,P.007 Krian,1,Haji Ahmad Bin Haji Hussain,13,PAS,3,8685
1955-07-25,GE-00,Perak,P.007 Krian,2,Haji Sulaiman Bin Haji Ahmad,14,PERIKATAN,2,8235
1955-07-25,GE-00,Perak,P.007 Krian,3,Mohamed Jan Bin Ngah Mohamed,15,NAP,5,3315
1955-07-25,GE-00,Perak,P.008 Batang Padang,1,Abdul Hamid Khan Bin Haji Sakhawat Ali Khan,16,PERIKATAN,2,9170
1955-07-25,GE-00,Perak,P.008 Batang Padang,2,Mohamed Shamshuddin Bin Haji Hamzah,17,NAP,5,1218
1955-07-25,GE-00,Perak,P.008 Batang Padang,3,Abdul Majid Bin Ariffin,18,PML,7,766
1955-07-25,GE-00,Perak,P.009 Larut and Matang,1,Dr Cheah Khay Chuan,19,PERIKATAN,2,15407
1955-07-25,GE-00,Perak,P.009 Larut and Matang,2,Abu Bakar Bin Said,20,PML,7,4453
1955-07-25,GE-00,Perak,P.009 Larut and Matang,3,Wan Zarazillah Bin Wan Haji Ismail,21,NAP,5,3437
1955-07-25,GE-00,Perak,P.009 Larut and Matang,4,Dr Puran Singh,22,LPOM,6,761
1955-07-25,GE-00,Perak,P.010 Dindings,1,Haji Mior Ariff Bin Mior Alwi,23,PERIKATAN,2,10511
1955-07-25,GE-00,Perak,P.010 Dindings,2,Mohd. Yunus Bin Mahmood,24,NAP,5,1629
1955-07-25,GE-00,Perak,P.010 Dindings,3,Abdul Wahab Bin Haji Md. Noor,25,PAS,3,1197
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,1,Mohamed Ghazali Bin Jawi,26,PERIKATAN,2,16781
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,2,Mat Judin Bin Haji Ahmad,27,BEBAS,1,4595
1955-07-25,GE-00,Perak,P.011 Sungei Perak Ulu,3,Syed Nordin Wafa,28,NAP,5,2099
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,1,Abdul Aziz Bin Haji Mat Jabar,29,PERIKATAN,2,17483
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,2,Meor Ahmad Bin Meor Yusof,30,NAP,5,4794
1955-07-25,GE-00,Perak,P.012 Sungei Perak Hilir,3,Mohd Daham Bin Khatib,31,BEBAS,1,264
1955-07-25,GE-00,Perak,P.013 Telok Anson,1,Bahaman Bin Samsudin,32,PERIKATAN,2,10514
1955-07-25,GE-00,Perak,P.013 Telok Anson,2,Haji Hassan Adli Bin Haji Arshad,33,PAS,3,3812
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,1,Leong Yew Koh,34,PERIKATAN,2,7421
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,2,Loh Ah Kee,35,NAP,5,983
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,3,D. R. Seenivasagam,36,PPP,4,808
1955-07-25,GE-00,Perak,P.014 Ipoh and Menglembu,4,W. E. Balasingam,37,BEBAS,1,439
1955-07-25,GE-00,Perak,P.015 Kinta Utara,1,V. T. Sambantham,38,PERIKATAN,2,7900
1955-07-25,GE-00,Perak,P.015 Kinta Utara,2,Chik Mohamed Yusuf Bin Sheik Abdul Rahman,39,NAP,5,1832
1955-07-25,GE-00,Perak,P.015 Kinta Utara,3,K. R. R. Choudhary,40,LPOM,6,357
1955-07-25,GE-00,Perak,P.015 Kinta Utara,4,Mohamed Ramly Bin Abdullah,41,PML,7,214
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,1,Too Joon Hing,42,PERIKATAN,2,11611
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,2,Mohd Baki Bin Haji Daud,43,NAP,5,1689
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,3,Mohamed Idrid Bin Hakim,44,BEBAS,1,401
1955-07-25,GE-00,Perak,P.016 Kinta Selatan,4,Zaharie Bin Hassan,45,PPP,4,273
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,1,Ong Yoke Lin,46,PERIKATAN,2,4667
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,2,Abdullah Bin Ibrahim,47,BEBAS,1,1371
1955-07-25,GE-00,Selangor,P.017 Kuala Lumpur Barat,3,Tan Tuan Boon,48,LPOM,6,1018
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,1,Cheah Ewe Keat,49,PERIKATAN,2,6790
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,2,Mohd. Salleh Bin Hakim,50,BEBAS,1,2431
1955-07-25,GE-00,Selangor,P.018 Kuala Lumpur Timor,3,Abdul Wahab Bin Abdul Majid,51,BEBAS,1,1003
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,1,Halimahton Binti Abdul Majid,52,PERIKATAN,2,5430
1955-07-25,GE-00,Selangor,P.019 Ulu Selangor,2,Ab. Rahman Bin Haji Maulana,53,BEBAS,1,1160
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,1,Raja Rastam Shahrome Bin Raja Said Tauphy,54,PERIKATAN,2,11857
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,2,Othman Bin Abdullah,55,PAS,3,4778
1955-07-25,GE-00,Selangor,P.020 Kuala Selangor,3,Md. Ambia Bin Sanusi,56,BEBAS,1,756
1955-07-25,GE-00,Selangor,P.021 Langat,1,Abu Bakar Bin Bagina,57,PERIKATAN,2,7069
1955-07-25,GE-00,Selangor,P.021 Langat,2,Mohd. Nazir Bin Hj. Abdul Jalil,58,BEBAS,1,2147
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,1,Abdul Aziz Bin Ishak,59,PERIKATAN,2,8713
1955-07-25,GE-00,Selangor,P.022 Selangor Barat,2,Mohamed Rashid Bin Ahmad,60,BEBAS,1,3092
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,1,Lee Eng Teh,61,PERIKATAN,2,5652
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,2,Zulfikli Mohamed,62,PAS,3,1711
1955-07-25,GE-00,Selangor,P.023 Selangor Tengah,3,Atan Chik Bin Lengkeng,63,BEBAS,1,839
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,1,Mohd. Idrid Bin Mat Sil,64,PERIKATAN,2,21155
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,2,Dato Ujang Bin Menuang,65,BEBAS,1,1572
1955-07-25,GE-00,Negeri Sembilan,P.024 Negri Sembilan Utara,3,Noordin Bin Haji Abdul Samad,66,BEBAS,1,506
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,1,Abdul Jalil Bin Haji Aminudin,67,PERIKATAN,2,12099
1955-07-25,GE-00,Negeri Sembilan,P.025 Negri Sembilan Selatan,2,Baba Bin Ludek,68,BEBAS,1,3590
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,1,Lim Kee Siong,69,PERIKATAN,2,8402
1955-07-25,GE-00,Negeri Sembilan,P.026 Seremban,2,B. H. Tan,70,BEBAS,1,2306
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,1,Mohamed Sulong Bin Mohamed Ali,71,PERIKATAN,2,16075
1955-07-25,GE-00,Pahang,P.027 Ulu Pahang,2,Abd. Hamid Bin Ma'Ajab,72,BEBAS,1,1910
1955-07-25,GE-00,Pahang,P.028 Semantan,1,Dato Abdul Razak Bin Hussain,73,PERIKATAN,2,14094
1955-07-25,GE-00,Pahang,P.028 Semantan,2,Mohamed Yasin Bin Mohd. Salleh,74,PAS,3,1999
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,1,Abdul Rahman Bin Haji Talib,75,PERIKATAN,2,16763
1955-07-25,GE-00,Pahang,P.029 Pahang Timor,2,Sheik Kadir Bin Sheik Omar,76,BEBAS,1,1334
1955-07-25,GE-00,Johor,P.030 Johore Timor,1,Dr Ismail Bin Dato Abdul Rahman,77,PERIKATAN,2,10800
1955-07-25,GE-00,Johor,P.030 Johore Timor,2,Jaafar Bin Haji Ali,78,BEBAS,1,350
1955-07-25,GE-00,Johor,P.030 Johore Timor,3,Haji Abdullah Bin Haji Taib,79,BEBAS,1,253
1955-07-25,GE-00,Johor,P.031 Johore Bahru,1,Suleiman Bin Dato Abdul Rahman,80,PERIKATAN,2,8745
1955-07-25,GE-00,Johor,P.031 Johore Bahru,2,Dato Onn Bin Jaafar,81,BEBAS,1,2802
1955-07-25,GE-00,Johor,P.032 Johore Selatan,1,Dr L. H. Tan,82,PERIKATAN,2,21581
1955-07-25,GE-00,Johor,P.032 Johore Selatan,2,Kassim Bin Awang Chik,83,BEBAS,1,2318
1955-07-25,GE-00,Johor,P.033 Johore Tengah,1,Teo Chze Chong,84,PERIKATAN,2,7100
1955-07-25,GE-00,Johor,P.033 Johore Tengah,2,Haji Anwar Bin Haji Abdul Malik,85,BEBAS,1,1068
1955-07-25,GE-00,Johor,P.034 Batu Pahat,1,S. Chelvasingam Macintyre,86,PERIKATAN,2,18968
1955-07-25,GE-00,Johor,P.034 Batu Pahat,2,Dato Haji Syed Abdul Kadir Bin Mohamed,87,BEBAS,1,2717
1955-07-25,GE-00,Johor,P.035 Muar Selatan,1,Tan Suan Kok,88,PERIKATAN,2,23580
1955-07-25,GE-00,Johor,P.035 Muar Selatan,2,Dato' Mahmud Bin Md. Shah,89,BEBAS,1,4108
1955-07-25,GE-00,Johor,P.036 Muar Utara,1,Haji Hassan Bin Haji Yunos,90,PERIKATAN,2,19802
1955-07-25,GE-00,Johor,P.036 Muar Utara,2,Haji Mohamed Nor Bin A. Hamid,91,BEBAS,1,3623
1955-07-25,GE-00,Johor,P.037 Segamat,1,Sardon Bin Haji Jubir,92,PERIKATAN,2,11072
1955-07-25,GE-00,Johor,P.037 Segamat,2,Razali Bin Abdul Manap,93,BEBAS,1,2447
1955-07-25,GE-00,Kedah,P.038 Alor Star,1,Lee Thean Hin,94,PERIKATAN,2,27897
1955-07-25,GE-00,Kedah,P.038 Alor Star,2,Haji Salim Bin Haji Mohd. Rejab,95,BEBAS,1,1784
1955-07-25,GE-00,Kedah,P.039 Kota Star,1,Tunku Kassim Ibni Almarhom Sultan Abdul Hamid,96,PERIKATAN,2,27357
1955-07-25,GE-00,Kedah,P.039 Kota Star,2,Haji Rejab Bin Haji Darus,97,BEBAS,1,2168
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,1,Syed Ahmad Bin Syed Mahmud Shahabudin,98,PERIKATAN,2,25544
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,2,Haji Abdullah Bin Haji Abbas,99,BEBAS,1,1578
1955-07-25,GE-00,Kedah,P.040 Kedah Utara,3,Haji Laidin Bin Haji Abdul Manan,100,BEBAS,1,1309
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,1,Md. Khir Bin Johari,101,PERIKATAN,2,31077
1955-07-25,GE-00,Kedah,P.041 Kedah Tengah,2,Puteh Bin Napa,102,BEBAS,1,1431
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,1,Tunku Abdul Rahman Putra,103,PERIKATAN,2,22226
1955-07-25,GE-00,Kedah,P.042 Sungei Muda,2,Syed Jan Aljeffri,104,BEBAS,1,1239
1955-07-25,GE-00,Kedah,P.043 Kedah Selatan,1,Lim Teng Kwang,105,PERIKATAN,2,21050
1955-07-25,GE-00,Kedah,P.043 Kedah Selatan,2,M. Saleh Bin Haji Shafie,106,PAS,3,1563
