state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Negeri Sembilan,N.01 Chennah,9756,7070,7,253
Negeri Sembilan,N.02 Klawang,8542,6197,25,151
Negeri Sembilan,N.03 Pertang,10212,7966,13,220
Negeri Sembilan,N.04 Sungai Lui,8812,7000,588,187
Negeri Sembilan,N.05 Serting,12620,9603,3,252
Negeri Sembilan,N.06 Bahau,15248,10592,0,336
Negeri Sembilan,N.07 Jeram Padang,10435,7176,0,264
Negeri Sembilan,N.08 Palong,11314,9171,0,228
Negeri Sembilan,N.09 Gemas,11614,8984,398,177
Negeri Sembilan,N.10 Gemencheh,12636,9104,7,317
Negeri Sembilan,N.11 Repah,13378,9960,55,276
Negeri Sembilan,N.12 Kota,10000,7201,10,232
Negeri Sembilan,N.13 Juasseh,8736,6243,1,237
Negeri Sembilan,N.14 Senaling,7286,5332,3,162
Negeri Sembilan,N.15 Johol,9016,6277,10,257
Negeri Sembilan,N.16 Pilah,10668,7419,44,171
Negeri Sembilan,N.17 Seri Menanti,8194,5880,11,207
Negeri Sembilan,N.18 Nilai,13429,9783,21,292
Negeri Sembilan,N.19 Lenggeng,10088,7632,9,239
Negeri Sembilan,N.20 Senawang,22170,16912,325,402
Negeri Sembilan,N.21 Ampangan,17847,13439,205,297
Negeri Sembilan,N.22 Lobak,16879,11886,168,242
Negeri Sembilan,N.23 Labu,9984,7364,6,240
Negeri Sembilan,N.24 Temiang,18282,13037,16,263
Negeri Sembilan,N.25 Rahang,16333,11973,572,638
Negeri Sembilan,N.26 Mambau,21159,15991,16,249
Negeri Sembilan,N.27 Rantau,13706,9995,22,299
Negeri Sembilan,N.28 Chembong,10207,7335,15,275
Negeri Sembilan,N.29 Linggi,11231,8262,11,243
Negeri Sembilan,N.30 Pasir Panjang,13510,10972,2684,415
Negeri Sembilan,N.31 Si Rusa,13531,8429,48,244
Negeri Sembilan,N.32 Lukut,18708,13568,10,381
