state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Sabah,N.01 Banggi,Banggi,6104,4064,0,102
Sabah,N.02 Kudat,Kudat,12610,9464,0,111
Sabah,N.03 Bengkoka,Bengkoka,7328,5218,0,65
Sabah,N.04 Matunggong,Matunggong,7421,5637,0,132
Sabah,N.05 Tandek,Tandek,6676,4978,0,219
Sabah,N.06 Langkon,Langkon,6943,5036,0,84
Sabah,N.07 Tempasuk,Tempasuk,9655,7934,0,99
Sabah,N.08 Usukan,Usukan,10710,8436,0,91
Sabah,N.09 Kadamaian,Kadamaian,7977,6860,0,112
Sabah,N.10 Tamparuli,Tamparuli,8114,6657,0,67
Sabah,N.11 Sulamam,Sulamam,10250,8217,0,61
Sabah,N.12 Kiulu,Kiulu,7144,5579,0,78
Sabah,N.13 Kundasang,Kundasang,10016,7922,0,183
Sabah,N.14 Ranau,Ranau,8356,6758,0,79
Sabah,N.15 Sugut,Sugut,4878,3400,0,107
Sabah,N.16 Labuk,Labuk,7987,6059,0,70
Sabah,N.17 Sungai Sibuga,Sungai Sibuga,13494,8893,0,121
Sabah,N.18 Elopura,Elopura,12942,9197,0,81
Sabah,N.19 Tanjung Papat,Tanjung Papat,11776,8350,0,61
Sabah,N.20 Karamunting,Karamunting,11219,8216,0,49
Sabah,N.21 Sekong,Sekong,11197,6865,0,119
Sabah,N.22 Sukau,Sukau,7269,4155,0,60
Sabah,N.23 Kuamut,Kuamut,4710,3280,0,60
Sabah,N.24 Tambunan,Tambunan,7237,6128,0,64
Sabah,N.25 Bingkor,Bingkor,11007,8990,0,76
Sabah,N.26 Moyog,Moyog,12427,10224,0,145
Sabah,N.27 Inanam,Inanam,13078,10235,0,98
Sabah,N.28 Likas,Likas,15453,11063,0,92
Sabah,N.29 Api-Api,Api-Api,17894,13022,0,55
Sabah,N.30 Sembulan,Sembulan,12209,8429,0,65
Sabah,N.31 Petagas,Petagas,14500,10948,0,50
Sabah,N.32 Kawang,Kawang,10100,8058,0,110
Sabah,N.33 Buang Sayang,Buang Sayang,11726,9364,0,55
Sabah,N.34 Bongawan,Bongawan,9882,7920,0,86
Sabah,N.35 Kuala Penyu,Kuala Penyu,8444,7168,0,93
Sabah,N.36 Klias,Klias,9048,7125,0,76
Sabah,N.37 Lumadan,Lumadan,7910,6215,0,118
Sabah,N.38 Sipitang,Sipitang,7741,6366,0,76
Sabah,N.39 Tenom,Tenom,8044,6217,0,60
Sabah,N.40 Kemabong,Kemabong,6694,5438,0,88
Sabah,N.41 Sook,Sook,12172,9692,0,78
Sabah,N.42 Nabawan,Nabawan,4771,3682,0,66
Sabah,N.43 Merotai,Merotai,15197,11061,0,144
Sabah,N.44 Sri Tanjong,Sri Tanjong,18752,13933,0,83
Sabah,N.45 Lahad Datu,Lahad Datu,16799,11721,0,161
Sabah,N.46 Kunak,Kunak,10976,7650,0,177
Sabah,N.47 Balung,Balung,15276,11189,0,291
Sabah,N.48 Sulabayan,Sulabayan,14240,9994,0,246
