state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Sabah,N.01 Banggi,6104,4064,0,102
Sabah,N.02 Kudat,12610,9464,5,111
Sabah,N.03 Bengkoka,7328,5218,0,65
Sabah,N.04 Matunggong,7421,5637,1,132
Sabah,N.05 Tandek,6676,4978,0,219
Sabah,N.06 Langkon,6943,5036,0,84
Sabah,N.07 Tempasuk,9655,7934,0,99
Sabah,N.08 Usukan,10710,8436,13,91
Sabah,N.09 Kadamaian,7977,6860,0,112
Sabah,N.10 Tamparuli,8114,6657,9,67
Sabah,N.11 Sulamam,10250,8217,15,61
Sabah,N.12 Kiulu,7144,5579,2,78
Sabah,N.13 Kundasang,10016,7922,2,183
Sabah,N.14 Ranau,8356,6758,0,79
Sabah,N.15 Sugut,4878,3400,4,107
Sabah,N.16 Labuk,7987,6059,24,70
Sabah,N.17 Sungai Sibuga,13494,8893,0,121
Sabah,N.18 Elopura,12942,9197,144,81
Sabah,N.19 Tanjung Papat,11776,8350,6,61
Sabah,N.20 Karamunting,11219,8216,7,49
Sabah,N.21 Sekong,11197,6865,7,119
Sabah,N.22 Sukau,7269,4155,2,60
Sabah,N.23 Kuamut,4710,3280,0,60
Sabah,N.24 Tambunan,7237,6128,0,64
Sabah,N.25 Bingkor,11007,8990,5,76
Sabah,N.26 Moyog,12427,10224,414,145
Sabah,N.27 Inanam,13078,10235,9,98
Sabah,N.28 Likas,15453,11063,11,92
Sabah,N.29 Api-Api,17894,13022,47,55
Sabah,N.30 Sembulan,12209,8429,66,65
Sabah,N.31 Petagas,14500,10948,236,50
Sabah,N.32 Kawang,10100,8058,8,110
Sabah,N.33 Buang Sayang,11726,9364,4,55
Sabah,N.34 Bongawan,9882,7920,8,86
Sabah,N.35 Kuala Penyu,8444,7168,5,93
Sabah,N.36 Klias,9048,7125,23,76
Sabah,N.37 Lumadan,7910,6215,0,118
Sabah,N.38 Sipitang,7741,6366,5,76
Sabah,N.39 Tenom,8044,6217,9,60
Sabah,N.40 Kemabong,6694,5438,1,88
Sabah,N.41 Sook,12172,9692,21,78
Sabah,N.42 Nabawan,4771,3682,0,66
Sabah,N.43 Merotai,15197,11061,239,144
Sabah,N.44 Sri Tanjong,18752,13933,52,83
Sabah,N.45 Lahad Datu,16799,11721,13,161
Sabah,N.46 Kunak,10976,7650,3,177
Sabah,N.47 Balung,15276,11189,49,291
Sabah,N.48 Sulabayan,14240,9994,18,246
