state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Perlis,N.01 Titi Tinggi,Titi Tinggi,9159,7594,38,224
Perlis,N.02 Beseri,Beseri,8197,6847,20,95
Perlis,N.03 Chuping,Chuping,9848,8682,17,165
Perlis,N.04 Mata Ayer,Mata Ayer,6365,5592,17,86
Perlis,N.05 Santan,Santan,8405,7449,22,93
Perlis,N.06 Bintong,Bintong,10911,9503,42,188
Perlis,N.07 Sena,Sena,11194,9430,20,177
Perlis,N.08 Indera Kayangan,Indera Kayangan,9776,8034,52,144
Perlis,N.09 Kuala Perlis,Kuala Perlis,10150,8480,8,149
Perlis,N.10 Kayang,Kayang,9176,8001,17,130
Perlis,N.11 Pauh,Pauh,9594,8333,19,158
Perlis,N.12 Tambun Tulang,Tambun Tulang,9242,8260,16,153
Perlis,N.13 Guar Sanji,Guar Sanji,8723,7639,14,82
Perlis,N.14 Simpang Empat,Simpang Empat,7774,6729,20,70
Perlis,N.15 Sanglang,Sanglang,8361,7459,14,80
