state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pulau Pinang,N.01 Butterworth,10809,8279,0,144
Pulau Pinang,N.02 Bagan Ajam,13984,10658,0,257
Pulau Pinang,N.03 Permatang Pauh,14548,10819,0,1186
Pulau Pinang,N.04 Bukit Mertajam,13690,10337,0,561
Pulau Pinang,N.05 Alma,13081,10208,0,711
Pulau Pinang,N.06 Sungei Bakap,14085,11355,0,633
Pulau Pinang,N.07 Nibong Tebal,10488,8153,0,481
Pulau Pinang,N.08 Kelawai,8239,6280,0,191
Pulau Pinang,N.09 Dhoby Ghaut,12775,10153,0,312
Pulau Pinang,N.10 Tanjong Bungah,13699,10126,0,635
Pulau Pinang,N.11 Ayer Hitam,12370,9475,0,342
Pulau Pinang,N.12 Jelutong,16208,12280,0,806
Pulau Pinang,N.13 Glugor,12800,9486,0,557
Pulau Pinang,N.14 Balik Pulau,7641,6301,0,351
Pulau Pinang,N.15 Bayan Lepas,10815,8873,0,573
Pulau Pinang,N.16 Kota,11057,8246,0,233
Pulau Pinang,N.17 Tanjong Tengah,12249,9988,0,344
Pulau Pinang,N.18 Tanjong Utara,10441,7897,0,290
Pulau Pinang,N.19 Tanjong Barat,8994,7202,0,279
Pulau Pinang,N.20 Sungei Pinang,11769,8811,0,387
Pulau Pinang,N.21 Tanjong Selatan,10290,7906,0,466
Pulau Pinang,N.22 Muda,12014,10010,0,718
Pulau Pinang,N.23 Kepala Batas,10029,8253,0,502
Pulau Pinang,N.24 Tasek Glugor,10326,8158,0,860
