state,dun,area_name,ballot_order,name,candidate_uid,party,votes
Pulau Pinang,N.01 Butterworth,Butterworth,1,Mpl. Yegappan,5645,PERIKATAN,2639
Pulau Pinang,N.01 Butterworth,Butterworth,2,Peritam Singh,246,PPP,1485
Pulau Pinang,N.01 Butterworth,Butterworth,3,G. Y. Oon,5647,BEBAS,1184
Pulau Pinang,N.01 Butterworth,Butterworth,4,Ismail Bin Awang,5648,SF,230
Pulau Pinang,N.02 Bagan Ajam,Bagan Ajam,1,Phee Joo Teik,5649,PERIKATAN,2875
Pulau Pinang,N.02 Bagan Ajam,Bagan Ajam,2,Kay Kim Huat,5650,BEBAS,1754
Pulau Pinang,N.02 Bagan Ajam,Bagan Ajam,3,Shariff Bin Moh. Isa,425,PAS,745
Pulau Pinang,N.02 Bagan Ajam,Bagan Ajam,4,D. B. Ali,5652,SF,197
Pulau Pinang,N.03 Muda,Muda,1,Haji Ismail Bin Che Chik,5653,PERIKATAN,5320
Pulau Pinang,N.03 Muda,Muda,2,Haji Yusof Rawa,579,PAS,1571
Pulau Pinang,N.04 Kapala Batas,Kapala Batas,1,Haji Ahmad Bin Haji Abdullah,5316,PERIKATAN,3969
Pulau Pinang,N.04 Kapala Batas,Kapala Batas,2,Haji Ahmad Bin Abdullah,393,PAS,1569
Pulau Pinang,N.05 Tasek Glugor,Tasek Glugor,1,Hashim Bin Awang,5657,PERIKATAN,4326
Pulau Pinang,N.05 Tasek Glugor,Tasek Glugor,2,Oh Theam Poh,5658,BEBAS,891
Pulau Pinang,N.06 Permatang Pauh,Permatang Pauh,1,Ariffin Bin Shariff,5659,PERIKATAN,4614
Pulau Pinang,N.06 Permatang Pauh,Permatang Pauh,2,Abdullah Bin Abass,242,PAS,1905
Pulau Pinang,N.06 Permatang Pauh,Permatang Pauh,3,Yunus Bin Mohamad,5661,SF,697
Pulau Pinang,N.07 Bukit Mertajam,Bukit Mertajam,1,Wong Pow Nee,5662,PERIKATAN,4221
Pulau Pinang,N.07 Bukit Mertajam,Bukit Mertajam,2,Kang Eng Wah,250,SF,1786
Pulau Pinang,N.08 Alma,Alma,1,Haji Sulaiman,5664,PERIKATAN,4092
Pulau Pinang,N.08 Alma,Alma,2,Noor Sulaiman,5665,SF,1767
Pulau Pinang,N.09 Sungei Bakap,Sungei Bakap,1,Kee Yong Chin,5666,PERIKATAN,3266
Pulau Pinang,N.09 Sungei Bakap,Sungei Bakap,2,V. Veerappen,252,SF,2413
Pulau Pinang,N.09 Sungei Bakap,Sungei Bakap,3,Md. Noor Bin Mahmood,5668,BEBAS,1255
Pulau Pinang,N.10 Nibong Tebal,Nibong Tebal,1,Haji Sahid Bin Hassan,5669,PERIKATAN,2480
