state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Terengganu,N.01 Kuala Besut,17679,15381,53,144
Terengganu,N.02 Kota Putera,19727,17089,67,206
Terengganu,N.03 Jertih,18770,16097,63,172
Terengganu,N.04 Hulu Besut,16390,14425,57,170
Terengganu,N.05 Jabi,16787,14865,35,142
Terengganu,N.06 Permaisuri,20322,17807,41,398
Terengganu,N.07 Langkap,16124,14049,31,190
Terengganu,N.08 Batu Rakit,14047,12541,26,134
Terengganu,N.09 Tepuh,25162,22271,24,220
Terengganu,N.10 Teluk Pasu,20121,18321,38,196
Terengganu,N.11 Seberang Takir,16212,14259,30,204
Terengganu,N.12 Bukit Tunggal,14743,13125,20,155
Terengganu,N.13 Wakaf Mempelam,25240,22301,37,220
Terengganu,N.14 Bandar,20390,16983,40,276
Terengganu,N.15 Ladang,20089,17395,22,165
Terengganu,N.16 Batu Buruk,28687,25353,37,231
Terengganu,N.17 Alur Limbat,23983,21391,30,244
Terengganu,N.18 Bukit Payung,20063,18235,19,145
Terengganu,N.19 Ru Rendang,22662,20317,19,181
Terengganu,N.20 Pengkalan Berangan,24087,21796,20,270
Terengganu,N.21 Telemung,15742,13995,31,304
Terengganu,N.22 Manir,14637,13343,26,159
Terengganu,N.23 Kuala Berang,15330,13697,32,280
Terengganu,N.24 Ajil,17834,15569,16,305
Terengganu,N.25 Bukit Besi,13387,11681,33,222
Terengganu,N.26 Rantau Abang,20618,18166,41,248
Terengganu,N.27 Sura,17705,15126,38,141
Terengganu,N.28 Paka,26464,23231,40,202
Terengganu,N.29 Kemasik,18847,16445,47,198
Terengganu,N.30 Kijal,19269,17168,31,193
Terengganu,N.31 Cukai,26715,22723,16,239
Terengganu,N.32 Air Putih,27111,23802,72,317
