state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Sabah,N.01 Banggi,Banggi,11054,7868,29,279
Sabah,N.02 Tanjong Kapor,Tanjong Kapor,23928,17242,97,345
Sabah,N.03 Pitas,Pitas,17269,13095,52,416
Sabah,N.04 Matunggong,Matunggong,22906,17248,72,557
Sabah,N.05 Tandek,Tandek,24101,18000,80,584
Sabah,N.06 Tempasuk,Tempasuk,19129,15726,99,392
Sabah,N.07 Kadamaian,Kadamaian,17982,14712,106,251
Sabah,N.08 Usukan,Usukan,20808,17138,106,356
Sabah,N.09 Tamparuli,Tamparuli,18836,15313,87,228
Sabah,N.10 Sulaman,Sulaman,22611,19055,89,341
Sabah,N.11 Kiulu,Kiulu,12953,10459,55,175
Sabah,N.12 Karambunai,Karambunai,34451,26658,143,613
Sabah,N.13 Inanam,Inanam,27964,22360,173,316
Sabah,N.14 Likas,Likas,15126,11219,38,84
Sabah,N.15 Api-Api,Api-Api,19279,14729,21,378
Sabah,N.16 Luyang,Luyang,21815,17031,46,112
Sabah,N.17 Tanjong Aru,Tanjong Aru,23829,17871,112,342
Sabah,N.18 Petagas,Petagas,17483,14021,123,294
Sabah,N.19 Kapayan,Kapayan,33675,27557,97,276
Sabah,N.20 Moyog,Moyog,19456,16100,23,202
Sabah,N.21 Kawang,Kawang,23102,19585,367,322
Sabah,N.22 Pantai Manis,Pantai Manis,20484,17217,53,227
Sabah,N.23 Bongawan,Bongawan,16239,13953,69,228
Sabah,N.24 Membakut,Membakut,13379,11565,32,182
Sabah,N.25 Klias,Klias,16948,14187,59,393
Sabah,N.26 Kuala Penyu,Kuala Penyu,16394,14056,161,439
Sabah,N.27 Lumadan,Lumadan,15009,12420,66,286
Sabah,N.28 Sindumin,Sindumin,16873,13065,52,204
Sabah,N.29 Kundasang,Kundasang,14864,11070,54,325
Sabah,N.30 Karanaan,Karanaan,13517,10928,68,155
Sabah,N.31 Paginatan,Paginatan,15325,11905,38,265
Sabah,N.32 Tambunan,Tambunan,16255,13322,86,118
Sabah,N.33 Bingkor,Bingkor,17761,13984,81,190
Sabah,N.34 Liawan,Liawan,17161,13610,79,154
Sabah,N.35 Melalap,Melalap,13996,10986,62,222
Sabah,N.36 Kemabong,Kemabong,15186,12030,53,410
Sabah,N.37 Sook,Sook,19121,15503,39,350
Sabah,N.38 Nabawan,Nabawan,12256,9443,18,228
Sabah,N.39 Sugut,Sugut,11703,8882,20,428
Sabah,N.40 Labuk,Labuk,16806,12733,61,247
Sabah,N.41 Gum-Gum,Gum-Gum,12460,9493,46,229
Sabah,N.42 Sungai Sibuga,Sungai Sibuga,35454,27752,164,525
Sabah,N.43 Sekong,Sekong,16522,12304,49,337
Sabah,N.44 Karamunting,Karamunting,16052,11724,81,267
Sabah,N.45 Elopura,Elopura,25285,18100,53,256
Sabah,N.46 Tanjong Papat,Tanjong Papat,14492,10567,18,196
Sabah,N.47 Kuamut,Kuamut,17875,14093,55,408
Sabah,N.48 Sukau,Sukau,10855,8163,30,253
Sabah,N.49 Tungku,Tungku,17773,12976,5,352
Sabah,N.50 Lahad Datu,Lahad Datu,28658,20834,63,432
Sabah,N.51 Kunak,Kunak,14511,10413,29,223
Sabah,N.52 Sulabayan,Sulabayan,13984,9868,45,324
Sabah,N.53 Senallang,Senallang,14399,10514,63,244
Sabah,N.54 Bugaya,Bugaya,19865,14224,87,381
Sabah,N.55 Balung,Balung,14541,10669,37,252
Sabah,N.56 Apas,Apas,18978,13841,32,290
Sabah,N.57 Sri Tanjong,Sri Tanjong,26400,19352,77,285
Sabah,N.58 Merotai,Merotai,20634,15263,149,275
Sabah,N.59 Tanjong Batu,Tanjong Batu,23951,17335,117,451
Sabah,N.60 Sebatik,Sebatik,7614,5394,0,109
