state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Johor,N.01 Buloh Kasap,17870,13342,0,321
Johor,N.02 Ayer Panas,19080,14943,0,309
Johor,N.03 Bandar Segamat,25156,19717,0,440
Johor,N.04 Bukit Serampang,16117,12758,0,393
Johor,N.05 Bekok,18583,14106,0,520
Johor,N.06 Bandar Kluang,36134,28146,0,668
Johor,N.07 Endau,11954,8709,0,409
Johor,N.08 Mersing,12499,0,0,0
Johor,N.09 Tangkak,17152,12873,0,288
Johor,N.10 Serom,16344,0,0,0
Johor,N.11 Jorak,15325,11772,0,373
Johor,N.12 Kesang,15292,11195,0,392
Johor,N.13 Sri Lalang,19033,14677,0,497
Johor,N.14 Sri Medan,18745,0,0,0
Johor,N.15 Bandar Maharani,37939,28194,0,1493
Johor,N.16 Parit Jawa,20058,15628,0,731
Johor,N.17 Layang-Layang,26657,20670,0,888
Johor,N.18 Kulai,28158,21500,0,761
Johor,N.19 Kota Tinggi,21247,0,0,0
Johor,N.20 Johor Lama,28777,0,0,0
Johor,N.21 Parit Raja,18564,0,0,0
Johor,N.22 Simpang Renggam,17163,13042,0,576
Johor,N.23 Sri Menanti,13221,9949,0,420
Johor,N.24 Peserai,28500,21524,0,789
Johor,N.25 Bandar Penggaram,33072,24615,0,752
Johor,N.26 Rengit,15480,0,0,0
Johor,N.27 Benut,22182,16855,0,426
Johor,N.28 Kukup,27727,21625,0,320
Johor,N.29 Gelang Patah,22601,17732,0,914
Johor,N.30 Skudai,38702,28653,0,1050
Johor,N.31 Tiram,35892,27301,0,1217
Johor,N.32 Tanjong Petri,62612,44992,0,1229
