state,dun,ballot_order,name,candidate_uid,party,party_uid,votes
Pulau Pinang,N.01 Butterworth,1,Ooi Ah Bee,7561,GERAKAN,21,5172
Pulau Pinang,N.01 Butterworth,2,David Williams,7562,PERIKATAN,2,2963
Pulau Pinang,N.02 Bagan Ajam,1,Ong Yi How,885,GERAKAN,21,6125
Pulau Pinang,N.02 Bagan Ajam,2,Phe Joo Teik,5649,PERIKATAN,2,4276
Pulau Pinang,N.03 Permatang Pauh,1,Haji Mohamad Nor Bin Haji Bakar,7565,PERIKATAN,2,5130
Pulau Pinang,N.03 Permatang Pauh,2,Musa Bin Haji Mohd. Yatim,620,PAS,3,4503
Pulau Pinang,N.04 Bukit Mertajam,1,Ooh Chooi Cheng,428,GERAKAN,21,7098
Pulau Pinang,N.04 Bukit Mertajam,2,Wong Pow Nee,5662,PERIKATAN,2,2678
Pulau Pinang,N.05 Alma,1,Harun Bin Sirat,6727,GERAKAN,21,4906
Pulau Pinang,N.05 Alma,2,Haji Sulaiman Bin Haji Ahmad,14,PERIKATAN,2,3046
Pulau Pinang,N.05 Alma,3,Ismail Bin Abdul Latif,7571,PAS,3,1545
Pulau Pinang,N.06 Sungei Bakap,1,Veerapen A/L Veerathan,612,GERAKAN,21,5599
Pulau Pinang,N.06 Sungei Bakap,2,Kee Yong Chin,5666,PERIKATAN,2,3115
Pulau Pinang,N.06 Sungei Bakap,3,Md. Noor Bin Mahmood,5668,BEBAS,1,2008
Pulau Pinang,N.07 Nibong Tebal,1,Teoh Chung Hor @ Teoh Kooi Sneah,7575,GERAKAN,21,3868
Pulau Pinang,N.07 Nibong Tebal,2,Haji Sahid Bin Hassan,5669,PERIKATAN,2,3602
Pulau Pinang,N.07 Nibong Tebal,3,Seow Hun Boo,6732,BEBAS,1,202
Pulau Pinang,N.08 Kelawei,1,Yeap Chim Guan,903,DAP,18,4239
Pulau Pinang,N.08 Kelawei,2,Tan Khim Hoe,5694,PERIKATAN,2,1850
Pulau Pinang,N.09 Dhoby Ghaut,1,Khoo Teng Chye,7580,GERAKAN,21,6882
Pulau Pinang,N.09 Dhoby Ghaut,2,S. M. Mohd. Idris,7581,PERIKATAN,2,2959
Pulau Pinang,N.10 Tanjong Bungah,1,Khoo Soo Giap,7582,DAP,18,4855
