state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Negeri Sembilan,N.01 Chennah,Chennah,11160,9372,25,189
Negeri Sembilan,N.02 Pertang,Pertang,9760,8164,24,123
Negeri Sembilan,N.03 Sungai Lui,Sungai Lui,14523,12408,56,284
Negeri Sembilan,N.04 Klawang,Klawang,9494,8076,28,122
Negeri Sembilan,N.05 Serting,Serting,19389,16491,67,252
Negeri Sembilan,N.06 Palong,Palong,16044,13988,55,209
Negeri Sembilan,N.07 Jeram Padang,Jeram Padang,11336,9206,21,250
Negeri Sembilan,N.08 Bahau,Bahau,18444,15173,25,288
Negeri Sembilan,N.09 Lenggeng,Lenggeng,15340,13318,38,186
Negeri Sembilan,N.10 Nilai,Nilai,20629,17599,26,327
Negeri Sembilan,N.11 Lobak,Lobak,18634,15726,29,207
Negeri Sembilan,N.12 Temiang,Temiang,11127,9494,19,196
Negeri Sembilan,N.13 Sikamat,Sikamat,19640,16954,85,211
Negeri Sembilan,N.14 Ampangan,Ampangan,16935,14525,47,187
Negeri Sembilan,N.15 Juasseh,Juasseh,9528,8056,21,145
Negeri Sembilan,N.16 Seri Menanti,Seri Menanti,8250,6966,29,154
Negeri Sembilan,N.17 Senaling,Senaling,8028,6905,27,129
Negeri Sembilan,N.18 Pilah,Pilah,12184,10172,38,169
Negeri Sembilan,N.19 Johol,Johol,9681,8192,22,190
Negeri Sembilan,N.20 Labu,Labu,15158,12964,48,263
Negeri Sembilan,N.21 Bukit Kepayang,Bukit Kepayang,21799,18837,42,160
Negeri Sembilan,N.22 Rahang,Rahang,15144,12600,37,195
Negeri Sembilan,N.23 Mambau,Mambau,20541,17915,52,204
Negeri Sembilan,N.24 Senawang,Senawang,15761,13544,29,180
Negeri Sembilan,N.25 Paroi,Paroi,31862,28005,167,230
Negeri Sembilan,N.26 Chembong,Chembong,16287,14113,51,236
Negeri Sembilan,N.27 Rantau,Rantau,18232,15937,42,256
Negeri Sembilan,N.28 Kota,Kota,13280,11493,41,192
Negeri Sembilan,N.29 Chuah,Chuah,11127,9539,9,150
Negeri Sembilan,N.30 Lukut,Lukut,13463,11650,30,190
Negeri Sembilan,N.31 Bagan Pinang,Bagan Pinang,17377,14751,31,375
Negeri Sembilan,N.32 Linggi,Linggi,14926,12754,33,263
Negeri Sembilan,N.33 Port Dickson,Port Dickson,13631,11290,22,202
Negeri Sembilan,N.34 Gemas,Gemas,22771,19573,53,351
Negeri Sembilan,N.35 Gemencheh,Gemencheh,15390,12859,34,286
Negeri Sembilan,N.36 Repah,Repah,19107,16367,44,291
