state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Sarawak,N.01 Lundu,Lundu,10910,8540,0,89
Sarawak,N.02 Tasik Biru,Tasik Biru,17220,12888,0,167
Sarawak,N.03 Padungan,Padungan,30882,23129,0,92
Sarawak,N.04 Stampin,Stampin,34937,26745,0,231
Sarawak,N.05 Petra Jaya,Petra Jaya,11825,8811,0,109
Sarawak,N.06 Satok,Satok,20014,14139,0,120
Sarawak,N.07 Sebandi,Sebandi,8428,6658,0,58
Sarawak,N.08 Muara Tuang,Muara Tuang,8525,7031,0,80
Sarawak,N.09 Batu Kawah,Batu Kawah,17455,12810,0,134
Sarawak,N.10 Bengoh,Bengoh,15021,11473,0,166
Sarawak,N.11 Tarat,Tarat,13334,9682,0,176
Sarawak,N.12 Tebakang,Tebakang,16092,11299,0,210
Sarawak,N.13 Semera,Semera,8453,6480,0,87
Sarawak,N.14 Gedong,Gedong,7431,5860,0,36
Sarawak,N.15 Lingga,Lingga,12679,9013,0,136
Sarawak,N.16 Sri Aman,Sri Aman,14391,10531,0,191
Sarawak,N.17 Engkilili,Engkilili,7382,6041,0,141
Sarawak,N.18 Batang Air,Batang Air,6181,4810,0,29
Sarawak,N.19 Saribas,Saribas,11014,7985,0,73
Sarawak,N.20 Layar,Layar,9631,7186,0,79
Sarawak,N.21 Kalaka,Kalaka,8904,7376,0,83
Sarawak,N.22 Krian,Krian,9010,7159,0,71
Sarawak,N.23 Kuala Rajang,Kuala Rajang,6882,5425,0,64
Sarawak,N.24 Matu-Daro,Matu–Daro,11497,9112,0,133
Sarawak,N.25 Repok,Repok,15760,12140,0,97
Sarawak,N.26 Meradong,Meradong,12919,9612,0,107
Sarawak,N.27 Maling,Maling,40648,29298,0,201
Sarawak,N.28 Seduan,Seduan,14626,10259,0,66
Sarawak,N.29 Igan,Igan,7294,4951,0,43
Sarawak,N.30 Dudong,Dudong,13548,9513,0,158
Sarawak,N.31 Balingian,Balingian,11881,8743,0,166
Sarawak,N.32 Oya,Oya,10004,7467,0,83
Sarawak,N.33 Pakan,Pakan,5804,4716,0,68
Sarawak,N.34 Meluan,Meluan,6483,5287,0,61
Sarawak,N.35 Machan,Machan,7651,5921,0,57
Sarawak,N.36 Ngemah,Ngemah,6285,4571,0,76
Sarawak,N.37 Katibas,Katibas,7217,4980,0,137
Sarawak,N.38 Pelagus,Pelagus,8267,6289,0,99
Sarawak,N.39 Baleh,Baleh,8531,6039,0,98
Sarawak,N.40 Belaga,Belaga,5752,4531,0,96
Sarawak,N.41 Tatau,Tatau,8064,5289,0,68
Sarawak,N.42 Kemena,Kemena,20333,13803,0,137
Sarawak,N.43 Subis,Subis,18754,12756,0,222
Sarawak,N.44 Miri,Miri,31786,20585,0,154
Sarawak,N.45 Marudi,Marudi,12438,7633,0,97
Sarawak,N.46 Telang Usan,Telang Usan,9449,5601,0,79
Sarawak,N.47 Limbang,Limbang,13738,9213,0,130
Sarawak,N.48 Lawas,Lawas,9940,7179,0,50
