state,dun,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Pahang,N.01 Tanah Rata,16796,13363,3,340
Pahang,N.02 Jelai,11184,9391,1,396
Pahang,N.03 Padang Tengku,12096,10498,1,163
Pahang,N.04 Cheka,11920,9730,56,211
Pahang,N.05 Benta,8308,6898,40,93
Pahang,N.06 Batu Talam,14016,11882,31,284
Pahang,N.07 Tras,23485,19137,55,290
Pahang,N.08 Dong,16713,14040,29,306
Pahang,N.09 Tahan,13584,11595,30,255
Pahang,N.10 Damak,22877,19052,50,647
Pahang,N.11 Pulau Tawar,21903,18953,58,295
Pahang,N.12 Beserah,31685,27113,103,305
Pahang,N.13 Semambu,32534,27624,106,327
Pahang,N.14 Teruntum,25098,20690,40,317
Pahang,N.15 Tanjung Lumpur,20493,17669,50,235
Pahang,N.16 Inderapura,10689,9499,42,113
Pahang,N.17 Sungai Lembing,13751,11693,31,169
Pahang,N.18 Lepar,15044,12635,23,219
Pahang,N.19 Panching,19272,16506,67,161
Pahang,N.20 Pulau Manis,18848,16158,77,211
Pahang,N.21 Peramu Jaya,28270,24645,90,411
Pahang,N.22 Bebar,13445,11318,28,313
Pahang,N.23 Chini,19247,16343,57,303
Pahang,N.24 Luit,11206,9369,34,212
Pahang,N.25 Kuala Sentul,12817,10778,40,229
Pahang,N.26 Chenor,14413,12603,78,250
Pahang,N.27 Jenderak,9728,8257,29,222
Pahang,N.28 Kerdau,10801,9516,37,168
Pahang,N.29 Jengka,22474,19890,237,50
Pahang,N.30 Mentakab,16991,14467,37,220
Pahang,N.31 Lanchang,23624,20251,42,550
Pahang,N.32 Kuala Semantan,25490,21877,75,285
Pahang,N.33 Bilut,17680,15015,33,263
Pahang,N.34 Ketari,21681,18316,40,316
Pahang,N.35 Sabai,10868,9031,25,245
Pahang,N.36 Pelangai,12037,10266,24,227
Pahang,N.37 Guai,17034,14493,67,184
Pahang,N.38 Triang,18527,15418,33,242
Pahang,N.39 Kemayan,15436,13033,28,310
Pahang,N.40 Bukit Ibam,19671,16962,65,265
Pahang,N.41 Muadzam Shah,17409,15007,34,399
Pahang,N.42 Tioman,16516,14045,57,237
