state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Melaka,N.01 Kuala Linggi,Kuala Linggi,10033,8744,2,131
Melaka,N.02 Tanjung Bidara,Tanjung Bidara,9008,7913,24,101
Melaka,N.03 Ayer Limau,Ayer Limau,10058,8723,21,167
Melaka,N.04 Lendu,Lendu,8848,7632,19,98
Melaka,N.05 Taboh Naning,Taboh Naning,8005,6815,14,116
Melaka,N.06 Rembia,Rembia,13412,11644,27,217
Melaka,N.07 Gadek,Gadek,12246,10277,21,244
Melaka,N.08 Machap,Machap,11682,10141,18,208
Melaka,N.09 Durian Tunggal,Durian Tunggal,11306,10151,18,159
Melaka,N.10 Asahan,Asahan,14945,12918,14,247
Melaka,N.11 Sungai Udang,Sungai Udang,17693,15377,32,191
Melaka,N.12 Pantai Kundor,Pantai Kundor,13079,11339,21,180
Melaka,N.13 Paya Rumput,Paya Rumput,23432,21036,43,257
Melaka,N.14 Kelebang,Kelebang,19078,16674,45,384
Melaka,N.15 Bachang,Bachang,28367,25106,37,365
Melaka,N.16 Ayer Keroh,Ayer Keroh,34225,30402,76,401
Melaka,N.17 Bukit Baru,Bukit Baru,21292,18781,51,194
Melaka,N.18 Ayer Molek,Ayer Molek,15554,13982,29,202
Melaka,N.19 Kesidang,Kesidang,17597,15287,43,176
Melaka,N.20 Kota Laksamana,Kota Laksamana,19732,16935,42,220
Melaka,N.21 Duyong,Duyong,18332,16055,54,212
Melaka,N.22 Bandar Hilir,Bandar Hilir,18976,15756,0,200
Melaka,N.23 Telok Mas,Telok Mas,17685,15595,43,187
Melaka,N.24 Bemban,Bemban,15811,13846,53,359
Melaka,N.25 Rim,Rim,10059,8696,18,157
Melaka,N.26 Serkam,Serkam,15543,14048,33,185
Melaka,N.27 Merlimau,Merlimau,12608,11040,18,139
Melaka,N.28 Sungai Rambai,Sungai Rambai,10434,9226,29,142
