state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Selangor,N.01 Kepong,Kepong,13566,10098,0,217
Selangor,N.02 Penchala,Penchala,7291,4484,0,52
Selangor,N.03 Pantai,Pantai,13105,8547,0,65
Selangor,N.04 Salak,Salak,22432,15231,0,168
Selangor,N.05 Bukit Nanas,Bukit Nanas,15519,9039,0,140
Selangor,N.06 Kampong Bahru,Kampong Bahru,9475,5305,0,69
Selangor,N.07 Ampang,Ampang,11999,7350,0,86
Selangor,N.08 Sentul,Sentul,10513,6291,0,65
Selangor,N.09 Ulu Bernam,Ulu Bernam,6280,5343,0,196
Selangor,N.10 Serendah,Serendah,7567,5923,0,125
Selangor,N.11 Kuang,Kuang,6807,5526,0,151
Selangor,N.12 Sabak,Sabak,10097,6936,0,210
Selangor,N.13 Sungei Besar,Sungei Besar,8810,5691,0,275
Selangor,N.14 Kuala Kubu,Kuala Kubu,0,0,0,0
Selangor,N.15 Tanjong Karang,Tanjong Karang,9062,6567,0,254
Selangor,N.16 Kuala Selangor Pekan,Kuala Selangor Pekan,10004,7898,0,280
Selangor,N.17 Kajang,Kajang,9068,7037,0,109
Selangor,N.18 Semenyih,Semenyih,6881,5412,0,295
Selangor,N.19 Dengkil,Dengkil,6754,4884,0,208
Selangor,N.20 Sungei Rawang,Sungei Rawang,6594,5606,0,114
Selangor,N.21 Port Swettenham,Port Swettenham,9303,6280,0,291
Selangor,N.22 Kampong Jawa,Kampong Jawa,10374,7822,0,218
Selangor,N.23 Telok Datoh,Telok Datoh,8525,7123,0,282
Selangor,N.24 Morib,Morib,8589,7261,0,150
Selangor,N.25 Jeram,Jeram,7496,5811,0,188
Selangor,N.26 Sementa,Sementa,7643,5317,0,170
Selangor,N.27 Serdang,Serdang,13502,10084,0,207
Selangor,N.28 Bukit Raja,Bukit Raja,6255,4510,0,126
