state,dun,area_name,voters_total,ballots_issued,ballots_not_returned,votes_rejected
Johor,N.01 Sepinang,Sepinang,29619,21682,19,812
Johor,N.02 Jementah,Jementah,28155,20345,26,427
Johor,N.03 Tangkak,Tangkak,25290,17801,5,754
Johor,N.04 Serom,Serom,29177,20946,140,724
Johor,N.05 Bukit Serampang,Bukit Serampang,17927,12812,20,394
Johor,N.06 Jorak,Jorak,20968,14197,20,545
Johor,N.07 Tenang,Tenang,22556,16929,18,700
Johor,N.08 Bekok,Bekok,24857,17763,24,467
Johor,N.09 Endau,Endau,16575,10668,22,29
Johor,N.10 Tenggaroh,Tenggaroh,21207,15007,42,19
Johor,N.11 Paloh,Paloh,34759,25629,813,733
Johor,N.12 Mengkibol,Mengkibol,25534,18310,73,532
Johor,N.13 Sri Medan,Sri Medan,28773,21541,189,885
Johor,N.14 Semerah,Semerah,29818,21926,376,797
Johor,N.15 Bukit Naning,Bukit Naning,0,0,0,0
Johor,N.16 Maharani,Maharani,28797,20583,43,768
Johor,N.17 Parit Bakar,Parit Bakar,22495,15326,114,471
Johor,N.18 Sungai Balang,Sungai Balang,18496,13275,41,591
Johor,N.19 Parit Yaani,Parit Yaani,25533,18709,17,631
Johor,N.20 Parit Raja,Parit Raja,26377,19418,41,611
Johor,N.21 Penggaram,Penggaram,37726,27905,87,1507
Johor,N.22 Rengit,Rengit,24332,16897,45,759
Johor,N.23 Panti,Panti,14961,11174,90,465
Johor,N.24 Gunung Lambak,Gunung Lambak,28119,22183,63,654
Johor,N.25 Simpang Renggam,Simpang Renggam,32221,23067,254,899
Johor,N.26 Benut,Benut,22673,16356,60,597
Johor,N.27 Kulai,Kulai,35954,27929,50,725
Johor,N.28 Bukit Permai,Bukit Permai,24734,18595,52,728
Johor,N.29 Sedili,Sedili,25991,20244,36,803
Johor,N.30 Pengerang,Pengerang,26751,21371,20,565
Johor,N.31 Tiram,Tiram,33753,25348,389,852
Johor,N.32 Pasir Gudang,Pasir Gudang,36545,27755,37,686
Johor,N.33 Tanjong Puteri,Tanjong Puteri,35246,24565,80,433
Johor,N.34 Stulang,Stulang,39049,27815,342,868
Johor,N.35 Tambatan,Tambatan,30379,18692,118,459
Johor,N.36 Kempas,Kempas,38037,28033,137,613
Johor,N.37 Tanjong Kupang,Tanjong Kupang,23897,18372,39,731
Johor,N.38 Skudai,Skudai,39426,30993,53,867
Johor,N.39 Pulai Sebatang,Pulai Sebatang,33594,24721,157,1083
Johor,N.40 Kukup,Kukup,26849,20049,34,812
